university,cycle,party,donor_count,donation_count,total_amount
Carnegie Mellon University,2020,REP,2,6,701.00
Carnegie Mellon University,2020,OTH,39,112,28566.00
Carnegie Mellon University,2024,DEM,141,1152,354831.00
Carnegie Mellon University,2024,REP,4,17,1484.00
Carnegie Mellon University,2024,OTH,21,86,17049.00
Carnegie Mellon University,2026,DEM,25,144,38455.00
Carnegie Mellon University,2026,OTH,11,30,12848.00
Case Western Reserve,2008,DEM,50,94,51220.00
Case Western Reserve,2008,REP,3,5,2800.00
Case Western Reserve,2008,OTH,5,13,3950.00
Case Western Reserve,2012,DEM,55,101,51938.00
Case Western Reserve,2012,REP,1,3,2400.00
Case Western Reserve,2012,OTH,2,6,2400.00
Case Western Reserve,2016,DEM,72,415,52621.00
Case Western Reserve,2016,OTH,6,23,6114.00
Case Western Reserve,2020,DEM,93,954,180926.00
Case Western Reserve,2020,REP,3,12,3297.00
Case Western Reserve,2020,OTH,28,79,20420.00
Case Western Reserve,2024,DEM,104,992,198514.00
Case Western Reserve,2024,OTH,18,68,18095.00
Case Western Reserve,2026,DEM,11,128,50020.00
Case Western Reserve,2026,OTH,14,91,10699.00
Claremont Colleges,2008,DEM,48,83,50950.00
Claremont Colleges,2008,REP,3,3,1250.00
Claremont Colleges,2008,OTH,6,10,2450.00
Claremont Colleges,2012,DEM,42,74,32557.00
Claremont Colleges,2012,REP,5,9,15500.00
Claremont Colleges,2012,OTH,3,3,875.00
Claremont Colleges,2016,DEM,63,616,76769.00
Claremont Colleges,2016,REP,5,14,17050.00
Claremont Colleges,2016,OTH,10,33,2776.00
Claremont Colleges,2020,DEM,125,2003,206006.00
Claremont Colleges,2020,REP,13,39,18834.00
Claremont Colleges,2020,OTH,37,184,23681.00
Claremont Colleges,2024,DEM,100,1299,145229.00
Claremont Colleges,2024,REP,3,7,6000.00
Claremont Colleges,2024,OTH,19,192,8996.00
Claremont Colleges,2026,DEM,14,339,19198.00
Claremont Colleges,2026,REP,1,3,3000.00
Claremont Colleges,2026,OTH,13,79,3052.00
Clemson University,2008,DEM,19,30,10800.00
Clemson University,2008,REP,3,3,1250.00
Clemson University,2008,OTH,4,7,2975.00
Clemson University,2012,DEM,16,36,11931.00
Clemson University,2012,REP,4,4,3550.00
Clemson University,2016,DEM,29,390,13564.00
Clemson University,2016,REP,3,8,1110.00
Clemson University,2016,OTH,4,8,3644.00
Clemson University,2020,DEM,61,1407,241015.00
Clemson University,2020,REP,17,134,38978.00
Clemson University,2020,OTH,11,266,17425.00
Clemson University,2024,DEM,44,536,87931.00
Clemson University,2024,REP,14,43,6737.00
